Telegram : https://www.lenconnect.com/
Alpena News : http://www.thealpenanews.com/
Ann Arbor News : https://www.mlive.com/ann-arbor/
Bay City Times : https://www.mlive.com/saginaw-bay-city/
Big Rapids Pioneer : https://www.bigrapidsnews.com/
Cadillac News : https://www.cadillacnews.com/
Tribune : https://www.cheboygannews.com/
Reporter : https://www.thedailyreporter.com/
Press : https://www.dailypress.net/
Flint Journal : https://www.mlive.com/flint/
Herald Times : https://www.petoskeynews.com/gaylord/
Tribune : https://www.grandhaventribune.com/
Daily News : https://thedailynews.cc/
Mining Gazette : http://www.mininggazette.com/
Sentinel-Standard : https://www.sentinel-standard.com/
Daily News : http://www.ironmountaindailynews.com/
Lansing State Journal : https://www.lansingstatejournal.com/
Daily News : https://www.shorelinemedia.net/ludington_daily_news/
Mining Journal : http://www.miningjournal.net/
Daily News : https://www.ourmidland.com/
Monroe News : https://www.monroenews.com/
Macomb Daily : https://www.macombdaily.com/
Petoskey News-Review : https://www.petoskeynews.com/
Oakland Press : https://www.theoaklandpress.com/
Royal Oak Tribune : https://www.dailytribune.com/
Herald-Palladium : https://www.heraldpalladium.com/
Evening News : https://www.sooeveningnews.com/
Sturgis Journal : https://www.sturgisjournal.com/
Traverse City Record-Eagle : https://www.record-eagle.com/
Allegan County News : http://www.allegannews.com/
Washtenaw County Legal News : http://www.legalnews.com/washtenaw/
Huron County View : https://huroncountyview.mihomepaper.com/
Huron Daily Tribune : https://www.michigansthumb.com/
Lake County Star : https://www.lakecountystar.com/
Battle Creek Enquirer : https://www.battlecreekenquirer.com/
Bedford Now : https://www.bedfordnow.com/
Antrim Review : http://www.antrimreview.net/
Belleville Independent : http://bellevilleareaindependent.com/
Benton Spirit : https://bentonspiritnews.com/
Journal Era : https://www.thejournalera.com/
Blissfield Advance : http://www.blissfieldadvance.com/
Boyne City Gazette : http://www.boynegazette.com/
Bay Mills News : https://www.baymillsnews.com/
Exponent : http://theexponent.com/
Brown City Banner : https://browncitybanner.mihomepaper.com/
Berrien County Record : https://bcrnews.net/
Farmers' Advance : https://www.farmersadvance.com/
Tuscola County Advertiser : https://www.tuscolatoday.com/
Cedar Springs Post : http://cedarspringspost.com/
Press & Guide : https://www.pressandguide.com/
Crain's Detroit Business : https://www.crainsdetroit.com/
Dowagiac Daily News : https://www.leaderpub.com/category/news/dowagiac-news/
Independent : https://dundeeonline.com/
Tri-County Times : https://www.tctimes.com/
Gladwin County Record : https://www.gladwinmi.com/
Grosse Pointe News : https://www.grossepointenews.com/
Oceana's Herald-Journal : https://www.shorelinemedia.net/oceanas_herald_journal/
Houghton Lake Resorter : https://www.houghtonlakeresorter.com/
Straitsland Resorter : http://www.resorter.com/
Lapeer County Press : https://thecountypress.mihomepaper.com/
Leelanau Enterprise : https://www.leelanaunews.com/
Macomb Township Voice : https://www.voicenews.com/
News Herald : https://www.thenewsherald.com/
Northern Express : https://www.northernexpress.com/
White Lake Beacon : https://www.shorelinemedia.net/white_lake_beacon/
Eastern Echo : http://www.easternecho.com/
Grand Valley Lanthorn : http://lanthorn.com/
Every Three Weekly : http://everythreeweekly.com/
Michigan Review : https://www.michiganreview.com/
Michigan Times : https://themichigantimes.com/
South End : https://www.thesouthend.wayne.edu/
State News : https://statenews.com/
Michigan Press Association : https://michiganpress.org/
