Herald Journal : https://www.hjnews.com/
Standard-Examiner : https://www.standard.net/
Herald : https://www.heraldextra.com/
Deseret News : https://www.deseret.com/
Intermountain Commercial Record & Salt Lake Times : http://www.slcrecord.com/unauthenticated/login
Salt Lake Tribune : https://www.sltrib.com/
Spectrum : https://www.thespectrum.com/
Davis County Clipper : https://davisclipper.com/
Box Elder News Journal : https://www.benewsjournal.com/
Iron County Today : https://ironcountytoday.com/
Emery County Progress : http://www.ecprogress.com/
Cottonwood / Holladay Journal : https://www.cottonwoodheightsjournal.com/
Millard County Chronicle Progress : http://www.millardccp.com/
Draper Journal : https://www.draperjournal.com/
Southern Utah News  : https://www.sunews.net/
Sanpete Messenger : http://sanpetemessenger.com/
Moab's Times-Independent : https://moabtimes.com/
San Juan Record : http://www.sjrnews.com/
Morgan County News : https://morgannews.com/
Murray Journal : https://www.murrayjournal.com/
Times News : http://www.nephitimesnews.com/
Sentinel News : http://www.sentinelnews.net/
Park Record : https://www.parkrecord.com/
Sun Advocate : http://www.sunad.com/
Richfield Reaper : http://www.richfieldreaper.com/
South Valley Journal : https://www.southvalleyjournal.com/
Sandy Journal : https://www.sandyjournal.com/
Church News : https://www.thechurchnews.com/
Intermountain Catholic : http://www.icatholic.org/
Salt Lake City Weekly : https://www.cityweekly.net/
Valley Journals : https://www.valleyjournals.com/
QSaltLake : https://qsaltlake.com/
Smithfield Sun : https://www.smithfieldsun.com/
Independent : http://suindependent.com/
St George News : https://www.stgeorgeutah.com/
serve daily : https://www.servedaily.com/
Taylorsville Journal : https://www.taylorsvillecityjournal.com/
Tooele Transcript : http://tooeleonline.com/
Leader : https://www.hjnews.com/tremonton/
Wendover Times : http://www.wendovertimes.com/
West Jordan Journal : https://www.westjordanjournal.com/
The Daily Universe : https://universe.byu.edu/
Forum : http://www.forumfortnightly.com/
Signpost : http://signpost.mywebermedia.com/
Utah Chronicle : https://dailyutahchronicle.com/
Utah Statesman : https://usustatesman.com/
UVU Review : https://www.uvureview.com/
Utah Press Association : https://utahpress.com/
